OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
292430880,269,Silver Spring Metro / Colesville Rd & Wayne Ave,32012,38.994896,-77.029532,YES,NO,,,NO,8,7,397441.68810088,147440.02631442,,
292430881,270,Montgomery & East Ln,32013,38.983525,-77.095367,YES,NO,,,NO,3,8,391737.18561936,146181.63464028,,
292430882,271,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,YES,NO,,,NO,7,12,392546.66110808,143765.03951761,,
292430883,272,14th & Belmont St NW,31119,38.921074,-77.031887,YES,NO,,,NO,3,8,397234.815588,139245.17181709,,DC
292430884,273,3rd & Tingey St SE,31634,38.87501,-77.0024,YES,NO,,,NO,11,8,399791.74179325,134131.220022,,DC
292430885,274,10th & Florida Ave NW,31120,38.920387,-77.025672,YES,NO,,,NO,13,5,397773.74796634,139168.73911509,,DC
292430886,275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,YES,NO,,,NO,8,7,400480.02354886,134322.94186107,,DC
292430887,276,Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,YES,NO,,,NO,2,13,386424.52768958,161344.27440776,,
292430888,277,Fallsgrove Dr & W Montgomery Ave,32016,39.099376,-77.188014,YES,NO,,,NO,3,12,383736.53425668,159054.82333901,,
292430889,278,Monroe St & Monroe Pl,32017,39.083673,-77.149162,YES,NO,,,NO,7,8,387094.43314867,157305.3907351,,
292430890,279,Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,YES,NO,,,NO,7,8,386388.43917458,161729.3311025,,
292430891,280,East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,YES,NO,,,NO,8,7,397457.28862708,146924.15777926,,
292430892,281,Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,YES,NO,,,NO,7,8,386847.10375582,159974.10023058,,
292430893,282,47th & Elm St,32021,38.982456,-77.091991,YES,NO,,,NO,8,7,392029.57027544,146062.66507911,,
292430894,283,Dennis Ave & Amherst Ave,32022,39.025387,-77.044563,YES,NO,,,NO,9,6,396141.22801173,150825.37283059,,
292430895,284,Montgomery College / W Campus Dr & Mannakee St,32023,39.095661,-77.159048,YES,NO,,,NO,2,19,386241.41121024,158637.64923132,,
